HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Inti (Kyrill)",1918,"m"
"Inu",2002,"m"
"Inuki",2004,"m"
"Inyima",2013,"w"
"Iota",2013,"w"
"Ipee-Iskko",2018,"m"
"Ipo",2005,"w"
"Ipsy",2006,"w"
"Ira",2008,"w"
"Ira",2015,"w"
"Iraya",2009,"w"
"Iris",2013,"w"
"Iris",2016,"w"
"Iris",2015,"w"
"Iris",2015,"w"
"Iris",2009,"w"
"Irk",2009,"m"
"Irma",2012,"w"
"Irma",2013,"w"
"Irma",2007,"w"
"Iron",2012,"m"
"Isa",2008,"w"
"Isaac (Oregon Golden Kennel)",2018,"m"
"Isaak",2013,"m"
"Isabella",2017,"w"
"Isbjorn",2017,"m"
"Ischa",2005,"w"
"Ischla",2013,"w"
"Isha vom Ricken",2018,"w"
"Isi",2009,"m"
"Isis",2013,"w"
"Iska (Ilmatar von Mainikka)",2015,"w"
"Isla",2016,"w"
"Isom",2006,"w"
"Isy",2010,"m"
"Itty",2008,"w"
"Iva",2012,"w"
"Ivana",2016,"w"
"Ivi",2015,"w"
"Ivor of white Sparkle",2010,"m"
"Ivy",2018,"w"
"Ivy",2013,"w"
"Ivy",2012,"w"
"Ivy",2009,"w"
"Ivy",2017,"w"
"Ivy",2013,"w"
"Ivy (You'r My Sunshine)",2016,"w"
"Iwa des seigneurs d'orient",2013,"w"
"Iwo",2017,"m"
"Izabella",2008,"w"
"Izas",2018,"w"
"Izzy",2009,"w"
"Izzy",2012,"w"
"J.D.",2016,"m"
"J.J.",2006,"m"
"JJ-Meeko",2015,"m"
"Ja (Inka)",2006,"w"
"Jabba",2010,"w"
"Jabba",2017,"w"
"Jabbo",2014,"m"
"Jabi",2012,"m"
"Jack",2010,"m"
"Jack",2009,"m"
"Jack",2014,"m"
"Jack",2017,"m"
"Jack",2007,"m"
"Jack",2003,"m"
"Jack",2010,"m"
"Jack",2015,"m"
"Jack",2011,"m"
"Jack",2016,"m"
"Jack",2010,"m"
"Jack",2003,"m"
"Jack",2010,"m"
"Jack",2010,"m"
"Jack",2013,"m"
"Jack",2016,"m"
"Jack",2006,"m"
"Jack",2015,"m"
"Jack",2011,"m"
"Jack",2018,"m"
"Jack",2018,"m"
"Jack",2005,"m"
"Jack (Tango)",2017,"m"
"Jack Gandalf",2018,"m"
"Jack Mack's Jo-Idwal",2013,"m"
"Jack Mingan",2009,"m"
"Jack White",2014,"m"
"Jackie",2016,"m"
"Jackie",2015,"w"
"Jackie",2009,"m"
"Jackie",2013,"m"
"Jackie",2007,"w"
"Jackie",2016,"w"
"Jackson",2016,"m"
"Jacky",2010,"w"
"Jacky",2017,"m"
"Jacky",2017,"m"
"Jacky",2018,"m"
"Jacky",2018,"m"
"Jacky",2013,"w"
"Jacky",2012,"m"
"Jacky",2010,"m"
"Jacky",2014,"w"
"Jacky",2013,"m"
"Jacky",2013,"m"
"Jacky",2016,"m"
"Jacky",2016,"m"
"Jacky",2006,"m"
"Jacky",2008,"w"
"Jacky",2007,"m"
"Jacky",2002,"m"
"Jacky",2007,"m"
"Jacky",2014,"w"
"Jacky",2015,"m"
"Jacky",2007,"m"
"Jacky",2015,"m"
"Jacky",2015,"m"
"Jacky Junior",2011,"m"
"Jaco",2018,"m"
"Jaco de Ubbadat",2017,"m"
"Jacob",2016,"m"
"Jacomo",2007,"m"
"Jade",2014,"w"
"Jade",2013,"w"
"Jagi",2009,"m"
"Jago",2010,"m"
"Jago (Quasi)",2012,"m"
"Jaika",2016,"w"
"Jaime",2018,"m"
"Jake",2013,"m"
"Jake (Timo)",2014,"m"
"Jake (Valmy)",2009,"m"
"Jakson",2009,"m"
"Jala",2015,"w"
"Jala",2009,"w"
"Jambo",2007,"m"
"Jambo",2018,"m"
"Jambo",2018,"m"
"Jambo (Troll Belaja)",2003,"m"
"Jambo (Winston)",2014,"m"
"James",2006,"m"
"James",2012,"m"
"James",2015,"m"
"James",2012,"m"
"James",2014,"m"
"James",2017,"m"
"James",2017,"m"
"James Dean",2013,"m"
"Jamica",2015,"w"
"Jamie",2015,"w"
"Jamie",2011,"w"
"Jamie",2010,"m"
"Jamie",2016,"m"
"Jamie",2007,"m"
"Jamie",2017,"m"
"Jamie ",2006,"w"
"Jamie (Vanuba)",2005,"w"
"Jamila",2012,"w"
"Jamiro",2006,"m"
"Jamy",2013,"m"
"Jana",2012,"w"
"Jana",2011,"w"
"Jana",2006,"w"
"Jane",2016,"w"
"Jane",2011,"w"
"Jango",2016,"m"
"Janka",2009,"w"
"Janna",2007,"w"
"Jannis Joplin",2005,"w"
"Janosch",2014,"m"
"Janosch",2013,"m"
"Janosch",2010,"m"
"Janosch (Miro)",2017,"m"
"Jantar",2017,"m"
"Jara",2013,"w"
"Jarmusch",2002,"m"
"Jaro",2017,"m"
"Jaro (Jérome)",2010,"m"
"Jashi (Jamie vom Hause Globi)",2018,"m"
"Jashko Elay",2013,"m"
"Jasira",2016,"w"
"Jasmin",2008,"w"
"Jasmine",2012,"w"
"Jason",2006,"m"
"Jasper",2018,"m"
"Jasper",2016,"m"
"Jasper Namid",2009,"m"
"Jasper/Jimy Coo",2011,"m"
"Jasty",2011,"m"
"Java",2017,"w"
"Java",2010,"w"
"Jax",2017,"m"
"Jay",2017,"w"
"Jay",2015,"w"
"Jay (Dallas)",2008,"m"
"Jay Jay",2008,"m"
"Jay-J",2008,"m"
"Jaya",2013,"w"
"Jayjay",2004,"m"
"Jazz",2012,"m"
"Jazz",2013,"m"
"Jazzy",2003,"m"
"Jeames",2014,"m"
"Jeanny",2013,"w"
"Jebo",2012,"m"
"Jeckie",2004,"w"
"Jeery",2017,"m"
"Jeeva (Hunting friend)",2014,"m"
"Jeffrey",2008,"m"
"Jeffrey",2018,"m"
"Jeki",2008,"m"
"Jeki",2016,"m"
"Jella v. Hofmannstal",2011,"w"
"Jelly",2012,"w"
"Jelly",2017,"w"
"Jem",2014,"m"
"Jemie",2005,"m"
"Jemma",2014,"w"
"Jengo",2011,"m"
"Jenna",2017,"w"
"Jenna Grafschaft Toggenburg",2017,"w"
"Jenni",2012,"w"
"Jennifer",2010,"w"
"Jenny",2002,"w"
"Jenny",2013,"w"
"Jenny",2011,"w"
"Jenny",2011,"w"
"Jenny",2012,"w"
"Jenny (Ombra)",2016,"w"
"Jeramo",2009,"m"
"Jero",2017,"m"
"Jerome",2005,"m"
"Jerry",2011,"m"
"Jerry",2013,"m"
"Jerry",2013,"m"
"Jerry",2016,"m"
"Jerry",2016,"m"
"Jerry",2011,"m"
"Jerry",2013,"m"
"Jerry",2006,"m"
"Jerry",2002,"w"
"Jerry (Gary)",2009,"m"
"Jerry-Lee vom Hoppiho",2010,"m"
"Jesse",2008,"w"
"Jesse",2013,"m"
"Jesse",2010,"w"
"Jessi",2010,"m"
"Jessi",2005,"w"
"Jessi",2011,"w"
"Jessie",2017,"w"
"Jessie von Kopfrein",2016,"w"
"Jessy",2018,"w"
"Jessy",2016,"w"
"Jessy",2009,"w"
"Jessy",2015,"w"
"Jessy",2012,"w"
"Jessy",2013,"w"
"Jessy",2014,"w"
"Jessy",2009,"w"
"Jessy",2002,"w"
"Jessy",2009,"w"
"Jessy (Yatzy)",2016,"w"
"Jester",2015,"m"
"Jester (Jarod)",2007,"m"
"Jesy",2011,"w"
"Jetta",2009,"w"
"Jewel",2014,"w"
"Jezebel",2009,"w"
"Jhuga Jendayi",2013,"w"
"Jill",2006,"w"
"Jill",2006,"w"
"Jim Beam",2016,"m"
"Jimbo",2010,"m"
"Jimbob",2005,"m"
"Jimmy",2016,"m"
"Jimmy",2017,"m"
"Jimmy",2008,"m"
"Jimmy",2015,"m"
"Jimmy",2015,"m"
"Jimmy",2004,"m"
"Jimmy",2014,"m"
"Jimmy",2005,"m"
"Jimmy",2005,"m"
"Jimmy",2009,"w"
"Jimmy",2014,"m"
"Jimmy",2016,"m"
"Jimy",2004,"m"
"Jin",2009,"m"
"Jin",2014,"m"
"Jina",2007,"w"
"Jinxie",2004,"w"
"Jiny",2013,"w"
"Jireeh",2009,"m"
"Jive-Riverdance",2018,"m"
"Jlia",2018,"w"
"Jllail",2015,"m"
"Jndi du Rocher de la Barmaz",2017,"m"
"Jo-u (Qaribah)",2010,"w"
"Joaninha",2015,"w"
"Jocko",2013,"m"
"Joda",2014,"m"
"Jodie",2008,"w"
"Jodie (Queen vom Maiengrün)",2012,"w"
"Joe",2009,"m"
"Joe",2006,"m"
"Joelle",2014,"w"
"Joey",2014,"m"
"Joey",2010,"m"
"Joey",2014,"m"
"Joggeli",2011,"m"
"John",2014,"m"
"John",2011,"m"
"John",2009,"m"
"John Wayne",2008,"m"
"Johnny",2016,"m"
"Johnny",2014,"m"
"Johnny",2015,"m"
"Johnny",2006,"m"
"Johnny (Till)",2018,"m"
"Johnny Walker",2015,"m"
"Johny",2018,"m"
"Joka (Luzi)",2007,"w"
"Joker",2010,"m"
"Joker",2015,"m"
"Joli",2018,"w"
"Jolie",2008,"w"
"Jolie (I am Incredible)",2009,"w"
"Jolly Joline",2018,"w"
"Jonah",2017,"m"
"Jonas",2017,"m"
"Jongo",2010,"m"
"Joni",2018,"m"
"Jonny",2009,"m"
"Jonny",2002,"m"
"Jonny vom Weierdamm",2011,"m"
"Joschi",2004,"m"
"Joschi (Hanibal)",2013,"m"
"Joschi (Ikarus vom Zürihorn)",2018,"m"
"Josco",2010,"m"
"Jose",2009,"m"
"Josepha (Josie)",2015,"w"
"Josh",2012,"m"
"Josh",2009,"m"
"Joshi",2007,"m"
"Josie",2008,"w"
"Joujou",2010,"w"
"Joy",2006,"m"
"Joy",2006,"m"
"Joy",2018,"w"
"Joy",2016,"w"
"Joy",2018,"m"
"Joy",2011,"m"
"Joy",2015,"m"
"Joy",2011,"w"
"Joy",2014,"w"
"Joy",2014,"w"
"Joy",2009,"w"
"Joy",2005,"w"
"Joy Pamine des Petits Coquin",2008,"w"
"Joy Stella",2018,"w"
"Joy vom Lake Valley",2015,"w"
"Joy-Roxane",2012,"w"
"Joya",2007,"w"
"Joya",2009,"w"
"Joya",2008,"w"
"Joya",2007,"w"
"Joya",2006,"w"
"Joya",2006,"w"
"Joya (Akira)",2012,"w"
"Joyce",2018,"w"
"Joyce (vom Lacheren)",2009,"w"
"Joyce's Harmony (Lani)",2010,"w"
"Jsa",2001,"w"
"Jsis",2009,"w"
"Juan",2010,"m"
"Juanele",2016,"m"
"Juci",2016,"w"
"Judy",2009,"w"
"Juicy",2010,"w"
"Juju",2014,"w"
"Juki (Casa)",2018,"w"
"Jukka",2017,"m"
"Julchen (Luhris Hetty)",2007,"w"
"Jule",2014,"w"
"Jule",2007,"w"
"Jules",2004,"m"
"Jules Bickel",2017,"w"
"Juli",2017,"w"
"Juli (Riversqueen's Cattleya)",2012,"w"
"Julia",2010,"w"
"Julie",2003,"w"
"Julie",2010,"w"
"Julie",2015,"w"
"Julie (Rudy)",2006,"w"
"Julie de Praz de flou",2008,"w"
"Julieta",2010,"w"
"Julieta",2011,"w"
"Juliete",2008,"w"
"Julio",2016,"m"
"Julius du brave Coeur",2017,"m"
"Julli",2004,"w"
"Julon (Jasper-Julon Büffelbo.)",2012,"m"
"July",2017,"w"
"Juma",2010,"w"
"Jumo",2011,"m"
"Juna",2015,"w"
"June",2017,"w"
"June Sunset",2012,"w"
"Junior",2010,"m"
"Junior",2008,"m"
"Junior",2017,"m"
"Junior",2017,"m"
"Junior",2018,"m"
"Junior",2007,"m"
"Junior",2012,"m"
"Juno",2016,"w"
"Juno",2017,"w"
"Juno",2018,"w"
"Juno",2015,"m"
"Juno Donna Delight",2016,"w"
"Jupp",2005,"m"
"Juri (Baby 7)",2008,"m"
"Juri (Chachi)",2004,"m"
"Juri (Don Juan)",2016,"m"
"Just Girly Things v. Shinbashi",2014,"m"
"Juwels Jayda",2016,"w"
"Jzzy",2018,"m"
"Jäcky",2009,"m"
"Jóia",2017,"w"
"Jüno v.d. Andreashöhe",2016,"w"
"K-Tamine",2008,"w"
"Ka-Ya-Bag I-Yanpo",2013,"m"
"Kabala",2017,"m"
"Kaban",2014,"m"
"Kadiou",2006,"m"
"Kailash",2011,"m"
"Kaio",2007,"m"
"Kairo",2010,"m"
"Kaiser",2008,"m"
"Kaiserin Emma v. d. Rütlihalde",2016,"w"
"Kaito",2016,"m"
"Kaj von Wandergut",2015,"m"
"Kaja",2007,"w"
"Kaja vom Lindenberg",2015,"w"
"Kaja-Willow",2016,"w"
"Kajmer",2012,"m"
"Kajo",2012,"m"
"Kalea (Lada)",2018,"w"
"Kali",2015,"m"
"Kalle",2014,"m"
"Kalou",2016,"m"
"Kaoneaw",2017,"m"
"Kaos",2013,"m"
"Kara",2009,"w"
"Karamel",2015,"w"
"Karina",2015,"w"
"Kariva ",2014,"w"
"Karl",2010,"m"
"Karlie",2012,"m"
"Karma",2013,"m"
"Karma",2016,"w"
"Karma vom blauen Mistral",2016,"w"
"Karo (Karamel)",2014,"w"
"Kascha",2017,"w"
"Kasha",2011,"w"
"Kasimir (Karo Of Black Devils)",2017,"m"
"Kaspar",2008,"m"
"Kassandra (Kybele)",2010,"w"
"Kassim",2004,"m"
"Kat",2003,"m"
"Katana",2005,"w"
"Kate",2016,"w"
"Kate",2012,"w"
"Katsu",2017,"m"
"Katy",2015,"w"
"Kay Rocco",2017,"m"
"Kay von der Geerenecke",2013,"m"
"Kaya",2007,"w"
"Kaya",2015,"w"
"Kaya",2013,"w"
"Kaya",2010,"w"
"Kaya",2016,"w"
"Kaya",2014,"w"
"Kaya (Caballus Pink Cadillac)",2018,"w"
"Kaya of Baxley",2018,"w"
"Kayla",2016,"w"
"Kayla",2015,"w"
"Kayla (Orca-Kira v. Breitland)",2015,"w"
"Kayla-Dela",2013,"w"
"Kayos",2017,"m"
"Keiko",2005,"m"
"Keisu",2014,"w"
"Keita (Onyra vom Wandergut)",2013,"w"
"Keks (Jimmy)",2018,"m"
"Kelly",2016,"w"
"Kelly",2010,"w"
"Kelly",2013,"w"
"Kemaka",2011,"w"
"Kenai",2015,"m"
"Kenai",2009,"w"
"Kendra",2008,"w"
"Kenji Go Hanabi",2011,"m"
"Kennedy",2006,"w"
"Kenneth v. Turpäland",2013,"m"
"Kenny",2009,"m"
"Kenzo",2012,"m"
"Kenzo",2010,"m"
"Kenzo Levana",2018,"m"
"Kepos",2016,"m"
"Kerry (Giotta)",2016,"w"
"Ketchup Zoro",2006,"m"
"Kevin Kiko",2017,"m"
"Key",2003,"m"
"Keyah",2007,"m"
"Keyla",2015,"w"
"Khaleesi",2016,"w"
"Kiano",2014,"m"
"Kianu",2014,"m"
"Kiara",2015,"w"
"Kiara",2012,"w"
"Kiara",2012,"w"
"Kiara",2007,"w"
"Kiarra",2013,"w"
"Kiba",2014,"w"
"Kibo",2012,"m"
"Kibo",2006,"m"
"Kicas",2014,"w"
"Kida",2006,"w"
"Kielo-Raja",2017,"w"
"Kika",2017,"w"
"Kikas",2015,"w"
"Kiki",2018,"w"
"Kiki",2017,"w"
"Kiki",2015,"m"
"Kiki",2008,"w"
"Kiki",2010,"w"
"Kiki",2018,"m"
"Kiki (Lemmikki)",2007,"w"
"Kiki Adam Barila",2013,"m"
"Kikki",2011,"w"
"Kikko",2017,"m"
"Kiko",2010,"m"
"Kiko",2011,"m"
"Kiko",2014,"m"
"Kiko",2014,"m"
"Kiko",2017,"m"
"Kiko",2006,"m"
"Kiko",2016,"w"
"Kiko",2018,"m"
"Kiko",2017,"w"
"Kiko",2014,"m"
"Kiku",2009,"m"
"Kili",2014,"w"
"Killa",2009,"w"
"Killa",2012,"w"
"Kim",2008,"w"
"Kim",2006,"w"
"Kim",2006,"w"
"Kim",2010,"w"
"Kim",2007,"w"
"Kim ",2005,"w"
"Kim du brave Coeur",2017,"w"
"Kimba",2007,"w"
"Kimba",2010,"w"
"Kimba",2012,"w"
"Kimba",2010,"w"
"Kimba",2010,"w"
"Kimba von den Jurahügeln",2011,"w"
"Kimbala",2018,"w"
"Kimbo",2010,"m"
"Kimbo",2009,"m"
"Kimbo",2012,"m"
"Kimbo vom Turpäland",2013,"m"
"Kimi",2017,"w"
"Kimi",2016,"w"
"Kimi",2010,"m"
"Kimi",2015,"m"
"Kimi",2004,"w"
"Kimy",2016,"w"
"King",2014,"m"
"King",2014,"m"
"King (Kim)",2012,"m"
"King Balu",2016,"m"
"King Kong",2006,"m"
"King Kong",2015,"m"
"King Louie",2011,"m"
"King Rocky",2015,"m"
"King Watson",2018,"m"
"Kingsley",2015,"m"
"Kiowa",2013,"w"
"Kiowa of Shumani",2018,"w"
"Kipi",2013,"m"
"Kipps",2010,"m"
"Kira",2011,"w"
"Kira",2011,"w"
"Kira",2015,"w"
"Kira",2015,"w"
"Kira",2015,"w"
"Kira",2018,"w"
"Kira",2012,"w"
"Kira",2017,"w"
"Kira",2005,"w"
"Kira",2008,"w"
"Kira",2010,"w"
"Kira",2008,"w"
"Kira",2012,"w"
"Kira",2013,"w"
"Kira",2013,"w"
"Kira",2002,"w"
"Kira",2005,"w"
"Kira",2005,"w"
"Kira",2005,"w"
"Kira",2007,"w"
"Kira",2005,"w"
"Kira",2007,"w"
"Kira Schwarzenherd",2015,"w"
"Kirk",2016,"m"
"Kiro",2014,"m"
"Kiro",2017,"m"
"Kiro",2009,"m"
"Kiro",2018,"m"
"Kiro",2012,"m"
"Kiro",2012,"m"
"Kiro (Creamy)",2016,"m"
"Kiro (Kalil von der Brausmatt)",2017,"m"
"Kiru (Cartonn des trois G)",2007,"m"
"Kisa",2017,"m"
"Kischa",2009,"w"
"Kisha",2006,"w"
"Kisha",2006,"w"
"Kishya (Kiity)",2015,"w"
"Kismo (Jumaira's Enal)",2017,"m"
"Kitta",2007,"w"
"Kitti",2008,"w"
"Kitty",2014,"w"
"Kitty",2009,"w"
"Kiwi",2007,"w"
"Kiwi",2015,"m"
"Kiwi",2014,"w"
"Kiwi",2004,"w"
"Kiyoshii",2017,"w"
"Klaus",2013,"m"
"Kleo de Prax de Flou",2009,"m"
"Kleopatra",2016,"w"
"Kleopatra  de la F. du Spessar",2010,"w"
"Klusia",2018,"w"
"Koa",2015,"w"
"Koata",2011,"w"
"Koda",2013,"m"
"Koda",2014,"m"
"Koi",2012,"m"
"Koko",2007,"m"
"Koko",2018,"w"
"Kokojambo's Hala Harun",2010,"m"
"Kola",2009,"w"
"Kolja",2006,"m"
"Kolya",2008,"m"
"Kona",2016,"w"
"Konan",2008,"m"
"Koning",2014,"m"
"Kora",2016,"w"
"Kora",2017,"w"
"Kora",2018,"w"
"Kornay Hunting Enya",2017,"w"
"Koroyan",2014,"w"
"Kory",2014,"m"
"Kostka Cukru",2018,"w"
"Krank",2011,"m"
"Krax von der Dählenegg",2015,"m"
"Kringo",2016,"m"
"Krisna",2007,"w"
"Kroc Mou (Charly)",2018,"m"
"Krümelmonster",2018,"w"
"Kuba",2011,"m"
"Kuba-Jack-Wichtel",2012,"m"
"Kubo",2008,"m"
"Kuko",2012,"w"
"Kuma",2005,"w"
"Kuma (Quinlan Savannah Town)",2016,"w"
"Kumo (Rico)",2017,"m"
"Kuno (Gandalf von Waldsee)",2007,"m"
"Kuro",2008,"m"
"Kurt",2005,"m"
"Kwassie",2005,"w"
"Kyana",2013,"w"
"Kyara",2014,"w"
"Kylie",2017,"w"
"Kyra",2015,"w"
"Kyra",2008,"w"
"Kyra",2008,"w"
"Kyra",2013,"w"
"Kyra",2009,"w"
"Kyra",2005,"w"
"Kyra",2010,"w"
"Kyra",2010,"w"
"Kyrill",2006,"m"
"Kytta",2013,"w"
"Käpten Habdock (Very Vigie)",2007,"m"
"Kücük",2001,"m"
"L'Nox",2014,"m"
"Laana",2013,"w"
"Lacky",2018,"m"
"Lacota von Amasis",2013,"w"
"Lacrima Christi Choco Chester",2014,"m"
"Lacta",2012,"w"
"Lady",2005,"w"
"Lady",2010,"w"
"Lady",2015,"w"
"Lady",2017,"w"
"Lady",2016,"w"
"Lady",2011,"w"
"Lady",2011,"w"
"Lady",2004,"w"
"Lady",2006,"w"
"Lady",2005,"w"
"Lady Ashley",2008,"w"
"Lady Lizzi",2017,"w"
"Lady Lou",2010,"w"
"Lady Ringo von Valetscha",2013,"w"
"Lady-Lilli",2011,"w"
"Lager",2006,"w"
"Lago (X-Stardust)",2017,"m"
"Laica-Stella",2010,"w"
"Laika",2015,"w"
"Laika",2011,"w"
"Laika",2010,"w"
"Laika",2011,"w"
"Laika",2016,"w"
"Laika",2017,"w"
"Laika",2017,"w"
"Laika",2005,"w"
"Laika",2004,"w"
"Laika",2003,"w"
"Laika",2002,"w"
"Laika Jaane von der Silbermöwe",2018,"w"
"Laila",2017,"w"
"Laila",2005,"w"
"Laila",2015,"w"
"Laila",2016,"w"
"Laila",2008,"w"
"Laila",2010,"w"
"Laila (Juwel)",2006,"w"
"Laki",2011,"m"
"Laki",2016,"m"
"Laki",2017,"m"
"Laki",2007,"m"
"Lakshmi",2015,"w"
"Lala",2015,"w"
"Lale",2011,"w"
"Lalita (Molly)",2014,"w"
"Lalu",2009,"w"
"Lami",2015,"w"
"Lampo (Zeus)",2007,"m"
"Lana",2010,"w"
"Lana",2008,"w"
"Lana",2017,"w"
"Lana",2017,"w"
"Lana",2014,"w"
"Lana",2015,"w"
"Lana",2017,"w"
"Lana",2015,"w"
"Lana",2011,"w"
"Lana",2016,"w"
"Lana vom Haus Kunterbunt",2015,"w"
"Lapo",2004,"m"
"Lapte",2018,"m"
"Lara",2011,"w"
"Lara",2009,"w"
"Lara",2012,"w"
"Lara",2012,"w"
"Lara",2010,"w"
"Lara",2007,"w"
"Lara",2005,"w"
"Lara",2018,"w"
"Lara",2015,"w"
"Lara",2017,"w"
"Lara",2015,"w"
"Lara",2014,"w"
"Lara",2009,"w"
"Lara",2015,"w"
"Lara",2016,"w"
"Lara",2014,"w"
"Lara (Emilia)",2011,"w"
"Lara (Erika)",2013,"w"
"Lara (Euita)",2007,"w"
"Lara (Rena von Erlosen)",2015,"w"
"Largo",2009,"m"
"Largo ",2016,"m"
"Larice von Happyparadies",2012,"w"
"Larissa",2007,"w"
"Larissa / Momo",2015,"w"
"Laser (Windy Nights Way To Go)",2010,"m"
"Lasi",2011,"w"
"Laska",2011,"w"
"Laska",2005,"w"
"Laska",2015,"w"
"Lassi",2009,"w"
"Latina",2014,"w"
"Lauktoji Remeza Basteta",2016,"w"
"Laura",2002,"w"
"Laura",2017,"w"
"Laura",2011,"w"
"Laura",2003,"w"
"Lavinja",2010,"w"
"Laya",2010,"w"
"Layla",2005,"w"
"Layla",2016,"w"
"Layla",2014,"w"
"Layla",2011,"w"
"Layla",2018,"w"
"Layla",2009,"w"
"Layla",2013,"w"
"Lea",2015,"w"
"Lea",2011,"w"
"Lea",2007,"w"
"Lea",2009,"w"
"Lee",2006,"w"
"Leela",2014,"w"
"Leena",2007,"w"
"Leeroy",2010,"m"
"Lego",2013,"m"
"Leia Nala",2012,"w"
"Leica",2003,"w"
"Leica",2014,"w"
"Leika",2007,"w"
"Leika",2016,"w"
"Leika",2006,"w"
"Leika",2004,"w"
"Leika",2007,"w"
"Leila",2010,"w"
"Leila",2012,"w"
"Leila",2008,"w"
"Leila",2015,"w"
"Leila",2013,"w"
"Leila",2017,"w"
"Leila",2008,"w"
"Leila (Nera)",2007,"w"
"Leito",2015,"m"
"Lejla",2014,"w"
"Lejla",2004,"w"
"Leky",2014,"m"
"Lella",2014,"w"
"Lella",2014,"w"
"Lello Arthuro",2015,"m"
"Lemmy (Raphael)",2016,"m"
"Lemonie",2009,"w"
"Lena",2013,"w"
"Lena",2012,"w"
"Lena",2010,"w"
"Lena",2010,"w"
"Lena",2008,"w"
"Leni",2018,"w"
"Leni",2008,"w"
"Lenja",2015,"w"
"Lennox",2012,"m"
"Lennox",2015,"m"
"Lennox",2015,"m"
"Lennox",2014,"m"
"Lennox (Ficus von Sprinbell)",2016,"m"
"Lennox vom Steinsvordersee",2012,"m"
"Lenny",2008,"m"
"Lenny",2010,"m"
"Lenny",2018,"m"
"Lenny",2015,"m"
"Lenny (Adelante d. Pelo Largo)",2017,"m"
"Lenny (Curly)",2016,"m"
"Lenox",2011,"m"
"Lenox",2009,"m"
"Leny",2013,"m"
"Leo",2004,"m"
"Leo",2013,"m"
"Leo",2010,"m"
"Leo",2013,"m"
"Leo",2010,"m"
"Leo",2012,"m"
"Leo",2011,"m"
"Leo",2013,"m"
"Leo",2011,"m"
"Leo",2005,"m"
"Leo",2012,"m"
"Leo",2012,"m"
"Leo",2010,"m"
"Leo",2011,"m"
"Leo",2008,"m"
"Leo",2008,"m"
"Leo",2005,"m"
"Leo",2018,"m"
"Leo",2018,"m"
"Leo",2018,"m"
"Leo",2017,"m"
"Leo",2015,"m"
"Leo",2017,"m"
"Leo",2016,"m"
"Leo",2013,"m"
"Leo",2015,"m"
"Leo",2014,"m"
"Leo",2010,"m"
"Leo",2009,"m"
"Leo",2013,"m"
"Leo",2013,"m"
"Leo",2012,"m"
"Leo",2014,"m"
"Leo",2008,"m"
"Leo (Ikos v. Mindelschloss)",2018,"m"
"Leo (Mirkwood Scarpin)",2012,"m"
"Leon",2017,"m"
"Leon",2015,"m"
"Leon",2016,"m"
"Leon",2013,"m"
"Leon",2015,"m"
"Leon",2018,"m"
"Leon",2011,"m"
"Leona",2012,"w"
"Leona",2014,"w"
"Leona",2018,"w"
"Leonard",2013,"m"
"Leonardo",2014,"m"
"Leonardo",2017,"m"
"Leone",2013,"m"
"Leonidas",2013,"m"
"Leonidas (Ndoto Yangu Adia T.)",2011,"m"
"Leroy",2009,"m"
"Lesana",2018,"w"
"Lesca",2011,"w"
"Leska",2009,"w"
"Lesley",2012,"w"
"Lessko",2014,"m"
"Levi",2015,"m"
"Levi",2018,"m"
"Levy (Astaira)",2010,"m"
"Lewi",2011,"w"
"Lewis",2015,"m"
"Lex",2008,"m"
"Lex",2012,"m"
"Lex Mjoelnir v. Belg. Feuer",2015,"m"
"Lexi",2017,"w"
"Lexi",2007,"m"
"Lexie",2010,"w"
"Lexus",2014,"m"
"Lexy",2007,"w"
"Lexy",2012,"w"
"Leyla",2013,"w"
"Leyla",2017,"w"
"Leyla",2013,"w"
"Leyla (Fleur Levana)",2016,"w"
"Leyno",2017,"m"
"Lhakyi",2005,"m"
"Lhasa",2010,"m"
"Lia",2008,"w"
"Lia",2014,"w"
"Lia",2010,"w"
"Lia",2007,"w"
"Lia",2017,"w"
"Lia",2014,"w"
"Lia",2012,"w"
"Lia (Daisy)",2016,"w"
"Lia (Uliana-Lia)",2014,"w"
"Lia (Velia)",2011,"w"
"Liberty",2011,"w"
"Liberty",2008,"m"
"Lielou",2013,"w"
"Lila",2003,"w"
"Lila",2015,"w"
"Lila",2009,"w"
"Lila",2015,"w"
"Lila",2011,"w"
"Lila (Annie)",2017,"w"
"Lilas",2017,"w"
"Lili",2017,"w"
"Lili",2014,"w"
"Lili",2018,"w"
"Lili",2008,"w"
"Lili",2012,"w"
"Lili",2009,"w"
"Lili",2018,"w"
"Lili",2016,"w"
"Lili-Lou",2013,"w"
"Lilirose",2013,"w"
"Lilli",2009,"w"
"Lilli",2009,"w"
"Lilli",2009,"w"
"Lilli",2012,"w"
"Lilli",2010,"w"
"Lilli (Goldenberry)",2008,"w"
"Lilli (Lajla)",2012,"w"
"Lillifee",2010,"w"
"Lillo",2004,"m"
"Lilly",2018,"w"
"Lilly",2014,"w"
"Lilly",2012,"w"
"Lilly",2010,"w"
"Lilly",2016,"w"
"Lilly",2014,"w"
"Lilly",2017,"w"
"Lilly",2017,"w"
"Lilly",2010,"w"
"Lilly",2015,"w"
"Lilly",2015,"w"
"Lilly",2013,"w"
"Lilly",2015,"w"
"Lilly",2004,"w"
"Lilly",2008,"w"
