HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Bella",2010,"w"
"Bella",2014,"w"
"Bella",2013,"w"
"Bella",2011,"w"
"Bella",2007,"w"
"Bella",2010,"w"
"Bella",2014,"w"
"Bella",2013,"w"
"Bella",2012,"w"
"Bella",2010,"w"
"Bella",2014,"w"
"Bella",2011,"w"
"Bella",2015,"w"
"Bella",2015,"w"
"Bella",2008,"w"
"Bella",2015,"w"
"Bella",2011,"w"
"Bella",2013,"w"
"Bella",2006,"w"
"Bella",2018,"w"
"Bella",2018,"w"
"Bella",2012,"w"
"Bella",2017,"w"
"Bella",2017,"w"
"Bella",2014,"w"
"Bella",2017,"w"
"Bella",2011,"w"
"Bella",2013,"w"
"Bella (Bubu)",2014,"w"
"Bella Antonia",2018,"w"
"Bella Bianca",2008,"w"
"Belle",2017,"w"
"Belli",2014,"m"
"Bellino",2012,"m"
"Bello",2015,"m"
"Bello",2016,"m"
"Bello",2014,"m"
"Bello Erole",2007,"m"
"Beloved Rascy",2012,"m"
"Belucca",2004,"w"
"Beluga",2012,"w"
"Ben",2012,"m"
"Ben",2017,"m"
"Ben",2014,"m"
"Benfica",2014,"m"
"Bengale",2010,"w"
"Beni",2005,"m"
"Beni",2009,"m"
"Benicia",2006,"w"
"Benii Ken's Daitoshi",2014,"m"
"Benito",2012,"m"
"Beniy (Tofik)",2009,"m"
"Benja",2009,"w"
"Benjamin",2012,"m"
"Benji",2011,"m"
"Benji",2011,"m"
"Benji",2013,"m"
"Benji",2002,"m"
"Benji",2010,"m"
"Benji",2016,"m"
"Benji",2006,"m"
"Benji",2005,"m"
"Benji",2004,"m"
"Benji",2015,"m"
"Benji  (Boucuk)",2006,"m"
"Benji (Baladeva)",2008,"m"
"Benjy",2014,"m"
"Benn",2013,"m"
"Benni",2009,"m"
"Benno",2012,"m"
"Benno",2014,"m"
"Benno",2009,"m"
"Benny",2012,"m"
"Benny",2005,"m"
"Benschi",2016,"m"
"Benschi",2009,"w"
"Bentley",2016,"m"
"Bentley",2017,"m"
"Bentley (Mozquito)",2008,"m"
"Bentley vom schweizer Herz",2015,"m"
"Bento",2016,"m"
"Beny",2006,"m"
"Beppo",2008,"m"
"Berenice v. Happy Morning Star",2008,"w"
"Bero",2006,"m"
"Berri",2010,"m"
"Berry",2014,"w"
"Bert",2016,"m"
"Bertie",2016,"m"
"Bertie",2012,"m"
"Bertil",2008,"m"
"Beryll (Mithras)",2008,"w"
"Bessy",2008,"w"
"Bessy",2008,"w"
"Beta",2017,"w"
"Beti",2011,"w"
"Betsy",2015,"w"
"Betta",2012,"w"
"Betty",2015,"w"
"Betty",2012,"w"
"Betty",2017,"w"
"Betty",2016,"w"
"Betty-Fibi von der Landruh",2017,"w"
"Beverly",2005,"w"
"Bhanu",2014,"m"
"Bia",2016,"w"
"Bianca",2018,"w"
"Bianca",2007,"w"
"Bianca",2012,"w"
"Bianca",2012,"w"
"Bianca",2016,"w"
"Biba June",2015,"w"
"Bibi",2013,"w"
"Bibi",2011,"w"
"Bibi",2007,"w"
"Bibi Girl Jilli",2012,"w"
"Bica",2017,"w"
"Bica",2011,"w"
"Bicco",2016,"m"
"Bida",2008,"w"
"Biddo",2013,"m"
"Bienchen",2003,"w"
"Bigna",2012,"w"
"Bijou",2014,"w"
"Bijou",2013,"w"
"Bijou",2017,"w"
"Bijou",2012,"w"
"Bijoux",2005,"w"
"Bijoux",2013,"w"
"Bijoux-Ronnie",2009,"m"
"Biju",2005,"m"
"Bilbo Potter Bulini",2015,"m"
"Bilboul",2014,"m"
"Bilko",2016,"m"
"Bill (Cougard)",2007,"m"
"Billabong",2012,"m"
"Billi",2013,"w"
"Billi",2005,"m"
"Billie",2013,"w"
"Billie",2015,"w"
"Billy",2003,"m"
"Billy",2006,"m"
"Billy",2014,"m"
"Billy",2016,"m"
"Billy",2011,"m"
"Billy",2006,"m"
"Billy Bär Kyuss",2011,"w"
"Billy-Lulu",2015,"m"
"Bina",2010,"w"
"Bina",2011,"w"
"Bingo",2013,"m"
"Bion Blues",2013,"m"
"Biondo",2012,"m"
"Biranda",2014,"w"
"Birba",2004,"w"
"Birba",2007,"w"
"Birba (Queudolin)",2008,"w"
"Birbi",2006,"w"
"Bircan du bosquet des muguets",2015,"m"
"Birdie",2018,"w"
"Birdy",2011,"m"
"Birillo",2008,"m"
"Birla (Herder little Devil's)",2016,"w"
"Biscotto (Astra)",2016,"w"
"Biscuit",2006,"m"
"Bishop",2011,"m"
"Bisou",2010,"w"
"Bisou",2009,"m"
"Bize",2005,"m"
"Bizou",2012,"w"
"Bizzy",2006,"w"
"Björn",2017,"m"
"Black",2018,"m"
"Black",2010,"w"
"Black Hamlet B For Blueberry H",2014,"m"
"Black Hamlet Call Me Cheeky",2018,"w"
"Black Pearl",2016,"w"
"Black Shadow",2010,"m"
"Blacky",2013,"m"
"Blacky",2011,"m"
"Blacky",2006,"m"
"Blacky",2006,"m"
"Blacky",2007,"m"
"Blacky",2017,"m"
"Blacky",2015,"w"
"Blacky",2012,"m"
"Blacky",2014,"m"
"Blacky",2015,"m"
"Blacky",2014,"m"
"Blacky (Leda)",2013,"w"
"Blacky Emil vom Allgäu Land",2017,"m"
"Blake",2012,"m"
"Blake",2007,"m"
"Blaky",2018,"m"
"Blanca",2015,"w"
"Blanca",2007,"w"
"Blanche",2018,"w"
"Blanco",2006,"m"
"Blanquita",2018,"w"
"Blazing Sun Kylie",2012,"w"
"Bless",2016,"w"
"Bleyd Nox",2015,"m"
"Bliss",2016,"m"
"Blizzard of Water Valley",2015,"m"
"Blubär",2016,"w"
"Blue",2012,"m"
"Blue",2018,"w"
"Blue",2018,"w"
"Blue",2008,"m"
"Blue",2018,"m"
"Blue Cheese",2017,"w"
"Blue Jewel's Art",2012,"m"
"Blue Sky",2014,"w"
"Blueboy",2012,"m"
"Blues",2007,"m"
"Blues",2007,"m"
"Bluette",2017,"w"
"Bo",2016,"w"
"Bo",2005,"m"
"Bo (BBY)",2012,"m"
"Boa Zeus",2014,"m"
"Bob",2009,"m"
"Bob Marley",2018,"m"
"Bobbi",2012,"m"
"Bobbi",2009,"m"
"Bobbi",2015,"m"
"Bobbie",2016,"m"
"Bobby",2006,"m"
"Bobby",2014,"m"
"Bobby",2013,"m"
"Bobby",2011,"m"
"Bobby",2014,"m"
"Bobby",2014,"m"
"Bobby",2005,"m"
"Bobby",2005,"m"
"Bobby",2005,"m"
"Bobby",2010,"m"
"Bobby",2017,"m"
"Bobby",2008,"m"
"Bobby",2011,"m"
"Bobby",2017,"m"
"Bobby",2012,"m"
"Bobby",2017,"w"
"Bobby",2018,"m"
"Bobby",2016,"m"
"Bobby",2008,"m"
"Bobby",2012,"m"
"Bobby Levi",2014,"m"
"Bobby-Jack",2016,"m"
"Bobet",2006,"w"
"Bobi",2012,"m"
"Bobi",2017,"m"
"Bobi",2016,"m"
"Bobi (Bengo)",2004,"m"
"Bobi (DJ)",2009,"m"
"Bobi (Milou)",2009,"m"
"Bobo",2009,"m"
"Bobo",2011,"m"
"Bobo",2007,"m"
"Bobo",2018,"m"
"Bobo",2003,"m"
"Bobona",2004,"w"
"Boby",2007,"m"
"Boby",2005,"m"
"Boby",2009,"m"
"Boby",2009,"m"
"Boby (Zorro)",2005,"m"
"Boby Prinz",2015,"m"
"Bodhi",2018,"m"
"Bodo",2018,"m"
"Bogar",2011,"w"
"Bogar",2012,"w"
"Bogyo",2015,"m"
"Boki",2015,"m"
"Bolero",2006,"m"
"Bolero Classic",2013,"m"
"Bolimhas",2012,"m"
"Bolinha",2011,"w"
"Bolinhas",2013,"m"
"Bolinhas",2018,"m"
"Bolo (Pluto)",2014,"m"
"Bolshoj (Harris)",2018,"m"
"Bom",2017,"m"
"Boma",2008,"m"
"Bomani",2009,"m"
"Bommel",2013,"m"
"Boncuk",2011,"w"
"Boncuk",2010,"w"
"Bond vom Köppembusch",2011,"m"
"Boneca",2014,"w"
"Boney",2015,"m"
"Bongio",2010,"m"
"Bongo",2012,"m"
"Boni",2007,"w"
"Bonita",2004,"w"
"Bonita",2010,"w"
"Bonita",2007,"w"
"Bonita",2003,"w"
"Bonita",2010,"w"
"Bonita (Nebbia)",2018,"w"
"Bonita v Buchegg",2014,"w"
"Bonito",2014,"m"
"Bonito",2017,"m"
"Bonitta",2004,"w"
"Bonnetime",2012,"m"
"Bonni",2010,"w"
"Bonni of Clermont",2014,"m"
"Bonnie",2007,"w"
"Bonnie",2015,"w"
"Bonnie",2017,"w"
"Bonnie",2010,"w"
"Bonnie",2017,"w"
"Bonnie",2016,"w"
